Movies,CINEPOLIS ESPLANADE BHUBANESHWAR,CINEPOLIS LAKE MALL,CINEPOLIS ACROPOLIS,CINEPOLIS P&M PATNA,CINEPOLIS GRAVITY,CINEPOLIS GRAND,PJP MUZAFFARPUR,PJP JAMSHEDPUR,PJP RANCHI,LMB RANCHI,REGENT,FE2 ROURKELA,CINEPOLIS NEXUS AHMEDABAD,CINEPOLIS KANKUBAG,CINEPOLIS INORBIT VADODARA,CINEPOLIS IMPERIAL SQUARE,CINEPOLIS VANDANA HERITAGE
DACOIT (HINDI),3,,,,,,,,,,,,,,,,
DACOIT (TELUGU),4,6,6,4,4,6,4,10,6,4,2,4,8,6,8,9,6
LIK (TAMIL),1,3,4,3,3,4,3,4,4,3,,2,4,4,4,4,4
PALLICHATTAMBI (MALAYALAM),1,1,1,1,1,3,1,2,1,,,,1,1,1,1,1
BIBI PAYRA (BENGALI),,,,,,,,1,,,,,,,,,
BTS (KOREAN),,2,2,2,,2,2,2,2,2,,,2,2,2,2,2
SANAM BEWAFA (RE RELEASE),1,1,,,,,,,,,,,,,,,
DHURANDHAR THE REVENGE (HINDI),14,,,,,,,,,,,,2,2,2,2,1
PROJECT HAILMARY (ENG HINDI),4,5,5,4,4,4,4,9,6,4,2,2,8,6,8,9,5
THE SUPER MARIO GALAXY MOVIE 3D(ENG/HINDI),1,1,,,,,,,,,,,,,,,
BARA BADHU (ODIA),1,,1,,,,,,,,,,1,,,,
VAZHA 2 (MALAYALAM),1,,,,,,,,,,,,,,,,
RAKSHAS TELUGU,,,,,,,,,,,,1,,,,,
Total Shows,31,22,22,16,14,20,15,30,21,15,4,9,29,23,28,29,20
